audit_dimension,group,reference_group,group_n,reference_n,demographic_parity_difference,disparate_impact_ratio_adverse_alert,four_fifths_parity_ratio,equal_opportunity_tpr_difference,false_positive_rate_difference,average_odds_difference,equalized_odds_max_gap,precision_difference,observed_dropout_rate_difference,four_fifths_review_flag,equalized_odds_review_flag,small_sample_warning
Gender,Male,Female,315,570,0.19590643274853803,1.5447154471544715,0.6473684210526316,0.09139171421483505,0.056052954824621276,0.07372233451972816,0.09139171421483505,0.19484320557491286,0.21645781119465327,True,False,False
Age group,25 or older,Under 25,234,651,0.31677104257749417,1.9165242165242165,0.5217779099152668,0.09792448112028007,0.17530721966205834,0.1366158503911692,0.17530721966205834,0.19526881720430111,0.31318681318681324,True,True,False
International status,International,Domestic,24,861,0.07259001161440187,1.1698369565217392,0.8548199767711961,-0.06222222222222218,0.09954493742889645,0.018661357603337134,0.09954493742889645,-0.04438405797101441,0.05560394889663184,False,False,True
Financial-risk proxy,Financial risk indicated,No immediate financial risk,173,712,0.5296486328505553,2.625473390472394,0.3808836926814455,0.2412796697626418,0.41459753580586656,0.3279386027842542,0.41459753580586656,0.2136533084808947,0.42019549262843414,True,True,False
Scholarship status,Scholarship holder,No scholarship,205,680,-0.3810616929698709,0.2638580931263858,0.2638580931263858,-0.3340615690168819,-0.20202098717450448,-0.26804127809569317,0.3340615690168819,-0.29058441558441556,-0.29702295552367286,True,True,True
Gender x financial risk,Female | Financial risk indicated,Female | No immediate financial risk,90,480,0.5888888888888888,3.208333333333333,0.31168831168831174,0.33720930232558144,0.46844560296336946,0.40282745264447545,0.46844560296336946,0.24299918831168832,0.4097222222222222,True,True,False
Gender x financial risk,Male | Financial risk indicated,Female | No immediate financial risk,83,480,0.5887550200803213,3.2078313253012047,0.3117370892018779,0.30442241707967976,0.3652514997692662,0.334836958424473,0.3652514997692662,0.38567341549295775,0.5557730923694779,True,True,False
Gender x financial risk,Male | No immediate financial risk,Female | No immediate financial risk,232,480,0.18160919540229886,1.6810344827586208,0.5948717948717949,0.15863787375415284,0.056283440801207285,0.10746065727768006,0.15863787375415284,0.21814903846153844,0.1829022988505747,True,True,False
