metric,training_cv_or_oof,heldout_test,heldout_minus_training
Default dropout F2,0.756085457425739,0.7430997876857749,-0.012985669739964067
Default macro F1,0.6825549464063628,0.6658880761793312,-0.016666870227031616
Default weighted OVR ROC-AUC,0.884569589380505,0.8808370218656946,-0.0037325675148104365
Thresholded dropout F2,0.8072229551451188,0.7849604221635884,-0.02226253298153036
Thresholded dropout recall,0.86103781882146,0.8380281690140845,-0.02300964980737552
Thresholded dropout precision,0.645778364116095,0.6263157894736842,-0.019462574642410857
