threshold,dropout_precision,dropout_recall,dropout_f1,dropout_f2,macro_f1,alert_share,selected
0.05,0.351199750701153,0.9912049252418645,0.5186378278877128,0.7264406342658244,0.27034589617041177,0.9067533201469342,False
0.06,0.36733355198425716,0.9850483729111698,0.5351170568561873,0.7371330788469133,0.31060122857081524,0.8615428087030235,False
0.07,0.3852544132917965,0.978891820580475,0.5529061102831595,0.7482855990318676,0.3466949333890244,0.8163322972591127,False
0.08,0.4032967032967033,0.9683377308707124,0.5694336695112491,0.7563891178895301,0.37788947162315045,0.7714043515117265,False
0.09,0.4231366459627329,0.9586631486367634,0.5871263129544843,0.7650196518809658,0.4026121826759385,0.7278892342469624,False
0.1,0.44669421487603306,0.9507475813544415,0.6078155749226877,0.7756888633754305,0.4288391086841812,0.6838089855891495,False
0.11,0.4639265413205072,0.9331574318381706,0.6197429906542056,0.7761521580102414,0.4475344550053326,0.6462277479513987,False
0.12,0.4893419833178869,0.9287598944591029,0.6409711684370258,0.787354607813898,0.47156458952105984,0.6097767730997457,False
0.13,0.5067698259187621,0.9217238346525946,0.653978159126365,0.7920193470374849,0.48663760619518337,0.5843458604125459,False
0.14,0.5241691842900302,0.9155672823218998,0.6666666666666666,0.7966023875114784,0.5027708097007259,0.5611754732975417,False
0.15,0.5404277516953573,0.911169744942832,0.6784544859201048,0.8012374323279196,0.5184274208628854,0.5416784402373552,False
0.16,0.5566395663956639,0.9032541776605101,0.6887994634473508,0.8032222743625841,0.5334559288095724,0.5213337100875953,False
0.17,0.5727170236753101,0.8935795954265612,0.6980419099965648,0.8035431825371718,0.5489707714502358,0.5012715456343599,False
0.18,0.5843478260869566,0.8865435356200527,0.7044025157232704,0.8034433285509326,0.5564713403965114,0.4874258265046623,False
0.19,0.5938425103611604,0.882145998240985,0.7098372257607927,0.8040724707391375,0.5626322944915501,0.4772534614297824,False
0.2,0.6026812918951858,0.8698328935795955,0.7120230381569475,0.7989982226530942,0.572947625434029,0.4636903079966092,False
