class_or_average,precision,recall,f1-score,support
Dropout,0.6263157894736842,0.8380281690140845,0.7168674698795181,284.0
Enrolled,0.34782608695652173,0.1509433962264151,0.21052631578947367,159.0
Graduate,0.8279816513761468,0.8167420814479638,0.8223234624145785,442.0
accuracy,0.703954802259887,0.703954802259887,0.703954802259887,0.703954802259887
macro avg,0.6007078426021176,0.6019045488961544,0.5832390826945234,885.0
weighted avg,0.677001041745616,0.703954802259887,0.6785661198232239,885.0
