params,rank_test_dropout_f2,mean_test_dropout_f2,mean_test_dropout_recall,mean_test_dropout_precision,mean_test_f1_macro,mean_test_balanced_accuracy,mean_test_accuracy,mean_test_roc_auc_ovr_weighted,std_test_dropout_f2,std_test_dropout_recall,std_test_dropout_precision,std_test_f1_macro,std_test_balanced_accuracy,std_test_accuracy,std_test_roc_auc_ovr_weighted
"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""selector__k"": ""all""}",1,0.756085457425739,0.7457801993971713,0.8015608531222942,0.6825549464063628,0.6769740674170261,0.7487949400266903,0.884569589380505,0.030279044682797185,0.0351060562479076,0.017936504373910284,0.018026252843320933,0.0185609426118598,0.011233585997078485,0.008973094481036533
"{""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""selector__k"": ""all""}",2,0.7457640842135543,0.7343573691939098,0.7961469103142098,0.6724646562001,0.6659167825820013,0.744838939099721,0.8783623415051732,0.022835900409057638,0.02734188739258178,0.01251581686584354,0.014508710252534583,0.014291622029530032,0.009345067064127088,0.00923200885733151
"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""selector__k"": 30}",3,0.7444980737645538,0.7325991189427313,0.7972717982235011,0.6719195884387387,0.6673393391878342,0.737210222232877,0.8753664856210179,0.023114383904701965,0.027758020123974898,0.01165705800788999,0.014433520589329202,0.01466353398725574,0.01016606772442299,0.009123803610708359
"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""selector__k"": ""all""}",4,0.734564327875922,0.7185331169333024,0.8072567965398649,0.6892237218103294,0.6903010219147325,0.7383425630698663,0.8819742474902336,0.023489741361351818,0.026817769722861547,0.012771732845411448,0.011574764616938196,0.013838772538360525,0.007059006477855241,0.008912215770058926
"{""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""selector__k"": 30}",5,0.7317091643301754,0.718552438364634,0.7905001829631078,0.6523685411888815,0.6466968504350995,0.7259119858717107,0.8690512474121983,0.015223020372048734,0.01988834281595686,0.011186943048652712,0.00897762926932829,0.00723108626801521,0.0058226609311507055,0.009014424454578037
"{""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""selector__k"": ""all""}",6,0.7244417471247095,0.707975886853698,0.7995172463086859,0.6736427258652894,0.6714433568313429,0.7321234786916948,0.8758493167804513,0.01900828712689011,0.022553131390339893,0.0101445995549692,0.013711064390057193,0.015087621575300674,0.010129158016434636,0.009246359181519032
"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""selector__k"": 30}",7,0.7234058242030214,0.7062253651750521,0.8022414898424609,0.6766278665594814,0.6781194339465889,0.7273216183603833,0.8745795598831636,0.020949802769791564,0.02485332648236782,0.007136296088177628,0.01045443608821676,0.01319554074528371,0.007017970098446144,0.008901791374367496
"{""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""selector__k"": 30}",8,0.7207574353635527,0.7018355359765052,0.8087559873054868,0.6701999291918479,0.6684382892363667,0.7261924739689466,0.8704884684027154,0.017107567143341728,0.020855601309737296,0.01063018677264113,0.009293762886812114,0.010096009479159814,0.006704069610791716,0.009029890450428183
