params,rank_test_dropout_f2,mean_test_dropout_f2,mean_test_dropout_recall,mean_test_dropout_precision,mean_test_f1_macro,mean_test_balanced_accuracy,mean_test_accuracy,mean_test_roc_auc_ovr_weighted,std_test_dropout_f2,std_test_dropout_recall,std_test_dropout_precision,std_test_f1_macro,std_test_balanced_accuracy,std_test_accuracy,std_test_roc_auc_ovr_weighted
"{""model__max_depth"": null, ""selector__k"": 30}",1,0.662145228391596,0.6411585130226448,0.7626447986843227,0.6138928741161949,0.6199271699489166,0.652736157392979,0.8185345409038582,0.0071277001918339045,0.006069690420838226,0.02702155740295346,0.019217341989726675,0.020243718133173747,0.02017285756985505,0.006696539130392295
"{""model__max_depth"": null, ""selector__k"": ""all""}",2,0.6561072683837489,0.6394350413478631,0.7365079135020022,0.6021015991928526,0.6077372847936383,0.6428375646281335,0.8193256507531554,0.015966831016453787,0.023252600803736156,0.03912225861093881,0.012058535491917582,0.012898506961570145,0.011777031567009098,0.010474312020245654
"{""model__max_depth"": 8, ""selector__k"": 30}",3,0.6429327290959819,0.6112334801762115,0.8133680252021851,0.633701880285597,0.6469627635047148,0.6643152814070754,0.8363135470427526,0.013366765049430473,0.017118866666591317,0.028829431221223684,0.015520491052187073,0.01790460623135776,0.016851327689809157,0.007942389115970954
"{""model__max_depth"": 8, ""selector__k"": ""all""}",4,0.6421048356178604,0.6121415874487982,0.7997155208131843,0.6291624892941592,0.6403709731527129,0.6623350833872734,0.8334373681519761,0.018178891797293737,0.02019750831996887,0.02351283892339185,0.013588618395505177,0.014677961945571909,0.015905815082044472,0.010587117821295981
"{""model__max_depth"": 4, ""selector__k"": ""all""}",5,0.6418660782196322,0.6121068088724012,0.7978634350630596,0.6348312868522361,0.6496656802752498,0.665725713007136,0.836260813126098,0.022329878185008308,0.023012765298422017,0.03055543530838302,0.013790773022876507,0.011525649492871543,0.02294549287886249,0.010500602761530366
"{""model__max_depth"": 4, ""selector__k"": 30}",6,0.6402459219679265,0.6103446943349563,0.79744808413437,0.6344043431792481,0.6487838696469779,0.6657213178945014,0.8360420719593282,0.02344189955645869,0.024244169870875784,0.03162227020944787,0.013998826051922405,0.013544240855226071,0.019439440062161268,0.01288338102515166
