partition,capacity_share,students_flagged,dropouts_captured,total_dropouts,dropout_capture_rate,precision_at_capacity,lift_at_capacity,baseline_dropout_prevalence
Training OOF,0.3,1062,853,1137,0.7502198768689534,0.803201506591337,2.500026501166879,0.3212771969482905
Held-out test,0.3,266,207,284,0.7288732394366197,0.7781954887218046,2.4250105898549195,0.32090395480225986
