params,rank_test_dropout_f2,mean_test_dropout_f2,mean_test_dropout_recall,mean_test_dropout_precision,mean_test_f1_macro,mean_test_balanced_accuracy,mean_test_accuracy,mean_test_roc_auc_ovr_weighted,std_test_dropout_f2,std_test_dropout_recall,std_test_dropout_precision,std_test_f1_macro,std_test_balanced_accuracy,std_test_accuracy,std_test_roc_auc_ovr_weighted
"{""model__C"": 0.1, ""selector__k"": ""all""}",1,0.7167628573986051,0.6974418424916918,0.8066111363322614,0.6885309302626327,0.6943696730572234,0.7315593060516705,0.883137599787869,0.02001200875062885,0.022961949927199,0.005584264977494081,0.012113110646147762,0.013025741513634772,0.012289655899563939,0.005887588765577939
"{""model__C"": 1.0, ""selector__k"": ""all""}",2,0.7158124108257147,0.696545328077904,0.8059184224155256,0.6832280455677446,0.690402469342458,0.7247764485891689,0.882723475277451,0.018867867200457838,0.02325174666844851,0.007028678570185551,0.013886708802581726,0.015846615847064205,0.012966604048226353,0.005448586090008598
"{""model__C"": 10.0, ""selector__k"": ""all""}",3,0.7149182926434415,0.6965491923641703,0.8005459199660763,0.679441414517672,0.6871963823958673,0.7199737891464691,0.8808724769635592,0.01619984075069402,0.021279335749463515,0.01288805078182792,0.011374784888798308,0.012867784342556718,0.010977432026870439,0.005782483654075602
"{""model__C"": 10.0, ""selector__k"": 30}",4,0.694474414450111,0.6710603601514801,0.8072935691259833,0.6746716361396847,0.682690017137528,0.715736101455182,0.87356907954272,0.018664183535352038,0.019633531558409217,0.013977369848372426,0.009317386625749753,0.011620618210887983,0.006529958278850669,0.007543816971350489
"{""model__C"": 0.1, ""selector__k"": 30}",5,0.6939803646845297,0.6719452817064688,0.799250393680792,0.6709218882742662,0.6774796449230419,0.7143212747424863,0.8730666961717839,0.016692391602155247,0.018771485606958942,0.013294972641238367,0.012566395397869485,0.015072665258721455,0.009326670620723544,0.007528460638483437
"{""model__C"": 1.0, ""selector__k"": 30}",6,0.6933299055781349,0.6701831671690239,0.8045898202538508,0.6750038339977846,0.6829625912281216,0.716299474983818,0.8739677323354978,0.017109139952296182,0.017633513529391756,0.015389872037255491,0.012053032257400684,0.014453341932141994,0.009231471669661413,0.007514407246896189
