rank,model,best_parameters,cv_dropout_f2,cv_dropout_recall,cv_dropout_precision,cv_f1_macro,cv_balanced_accuracy,cv_accuracy,cv_roc_auc_ovr_weighted,cv_dropout_f2_std,cv_dropout_recall_std,cv_dropout_precision_std,cv_f1_macro_std,cv_balanced_accuracy_std,cv_accuracy_std,cv_roc_auc_ovr_weighted_std
1,Random Forest,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""selector__k"": ""all""}",0.756085457425739,0.7457801993971713,0.8015608531222942,0.6825549464063628,0.6769740674170261,0.7487949400266903,0.884569589380505,0.030279044682797185,0.0351060562479076,0.017936504373910284,0.018026252843320933,0.0185609426118598,0.011233585997078485,0.008973094481036533
2,Histogram Gradient Boosting,"{""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 31, ""selector__k"": ""all""}",0.739325640175228,0.7290671612953088,0.7859113323412187,0.6745184175639541,0.6707236124704243,0.7363623650500642,0.8750521090453516,0.025370267201174797,0.033244979610634974,0.015091229791479362,0.00897471393069295,0.009287280193946144,0.008149934524922057,0.009065417672833306
3,Logistic Regression,"{""model__C"": 0.1, ""selector__k"": ""all""}",0.7167628573986051,0.6974418424916918,0.8066111363322614,0.6885309302626327,0.6943696730572234,0.7315593060516705,0.883137599787869,0.02001200875062885,0.022961949927199,0.005584264977494081,0.012113110646147762,0.013025741513634772,0.012289655899563939,0.005887588765577939
4,Decision Tree,"{""model__max_depth"": null, ""selector__k"": 30}",0.662145228391596,0.6411585130226448,0.7626447986843227,0.6138928741161949,0.6199271699489166,0.652736157392979,0.8185345409038582,0.0071277001918339045,0.006069690420838226,0.02702155740295346,0.019217341989726675,0.020243718133173747,0.02017285756985505,0.006696539130392295
5,Dummy Baseline,"{""strategy"": ""prior""}",0.0,0.0,0.0,0.22201273668881658,0.3333333333333333,0.4992935855328874,0.5,0.0,0.0,0.0,0.0002094460339301694,0.0,0.000706214830551136,0.0
