params,rank_test_dropout_f2,mean_test_dropout_f2,mean_test_dropout_recall,mean_test_dropout_precision,mean_test_f1_macro,mean_test_balanced_accuracy,mean_test_accuracy,mean_test_roc_auc_ovr_weighted,std_test_dropout_f2,std_test_dropout_recall,std_test_dropout_precision,std_test_f1_macro,std_test_balanced_accuracy,std_test_accuracy,std_test_roc_auc_ovr_weighted
"{""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 31, ""selector__k"": ""all""}",1,0.739325640175228,0.7290671612953088,0.7859113323412187,0.6745184175639541,0.6707236124704243,0.7363623650500642,0.8750521090453516,0.025370267201174797,0.033244979610634974,0.015091229791479362,0.00897471393069295,0.009287280193946144,0.008149934524922057,0.009065417672833306
"{""model__learning_rate"": 0.1, ""model__max_leaf_nodes"": 31, ""selector__k"": ""all""}",2,0.7387070639375966,0.7281899683128527,0.7862559322956326,0.6695491885877329,0.6641502670812863,0.7352312228801573,0.8719569603848841,0.02727062575960086,0.03435489671798988,0.016444410766337847,0.012941209032853267,0.01234237204974656,0.01157491706447203,0.01006592810681101
"{""model__learning_rate"": 0.1, ""model__max_leaf_nodes"": 15, ""selector__k"": ""all""}",3,0.738525733538725,0.7273320967617283,0.7882562109988014,0.6712632125592333,0.6683659996711118,0.7321238782473889,0.8717629315889338,0.030159463964131494,0.035706031030041996,0.00835707915177879,0.013379446609883655,0.015232635844404225,0.009338178017294002,0.010374263650145276
"{""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 15, ""selector__k"": ""all""}",4,0.734755199717777,0.7211608315944046,0.7964422738114598,0.6830745146219395,0.683049576297187,0.7360798791743581,0.8763585863598691,0.02627636437981378,0.03248086875790197,0.009476923613978751,0.014065603541240038,0.015866597693644565,0.0104168457184119,0.011983025726433862
"{""model__learning_rate"": 0.1, ""model__max_leaf_nodes"": 31, ""selector__k"": 30}",5,0.727992445786971,0.7176636525233789,0.773357848555908,0.646491772496966,0.6431219812927396,0.7151683328139109,0.8560302991038885,0.030049645770304282,0.03390781087558387,0.018420374006118977,0.011395922738883613,0.011878673918136361,0.011111141443572692,0.008977306377815448
"{""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 31, ""selector__k"": 30}",6,0.7215538393272605,0.707999072571296,0.7825608864090203,0.657484465360188,0.654811381264526,0.7182792734479259,0.8577952426449779,0.024070856577140497,0.028240849132207452,0.01601740580095205,0.0075777250598011835,0.008247927941380167,0.006095218773556681,0.00856121833970321
"{""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 15, ""selector__k"": 30}",7,0.7144331604699913,0.6965723780817683,0.7965725935913285,0.6682186310466959,0.6696005274580155,0.7182772756694555,0.8615176476201093,0.024378756696604064,0.02696146174845064,0.012962666621831983,0.012032634417778779,0.013116174007137759,0.011016861489909057,0.010765336635594655
"{""model__learning_rate"": 0.1, ""model__max_leaf_nodes"": 15, ""selector__k"": 30}",8,0.7118502752946353,0.699207821315403,0.7678519239551036,0.651026457489875,0.6491735500492172,0.7129080462525671,0.8563145589291187,0.030039269923950382,0.03251856567432645,0.021116920318988854,0.01203540840682434,0.012724121004701596,0.010469063156699161,0.009079196623638675
