component,explained_variance_ratio,cumulative_explained_variance
1,0.05194424487741151,0.05194424487741151
2,0.042500353309673104,0.09444459818708462
3,0.03311275494732033,0.12755735313440494
4,0.028993294649562584,0.15655064778396752
5,0.02793219628938987,0.18448284407335738
6,0.022162329379027155,0.20664517345238453
7,0.0204247304461908,0.22706990389857534
8,0.019772852687739755,0.2468427565863151
9,0.018314135542895547,0.2651568921292107
10,0.017330708092559835,0.2824876002217705
11,0.016487369013081794,0.2989749692348523
12,0.01587882052483653,0.3148537897596888
13,0.01533123959327335,0.3301850293529622
14,0.015010159916409643,0.3451951892693718
15,0.014683994108824054,0.35987918337819585
16,0.01428788088684587,0.3741670642650417
17,0.013766197878990534,0.38793326214403223
18,0.013298275687981689,0.40123153783201393
19,0.013081131350504342,0.41431266918251825
20,0.012234429833868975,0.4265470990163872
21,0.011775371256085644,0.43832247027247284
22,0.01159424752023762,0.4499167177927105
23,0.011569053218494165,0.46148577101120464
24,0.011327474553830796,0.47281324556503546
25,0.011237379480895305,0.48405062504593077
26,0.010921736380870543,0.4949723614268013
27,0.010712717048965216,0.5056850784757665
28,0.01066428852153741,0.5163493669973039
29,0.010612941561693926,0.5269623085589978
30,0.010305722091209366,0.5372680306502072
31,0.010240514714154075,0.5475085453643613
32,0.009978031156196497,0.5574865765205578
33,0.00996118136063046,0.5674477578811883
34,0.009836632446047417,0.5772843903272357
35,0.009747250531843341,0.587031640859079
36,0.00956690791708155,0.5965985487761606
37,0.009409673759990158,0.6060082225361507
38,0.00936113417479494,0.6153693567109456
39,0.009304087455228769,0.6246734441661744
40,0.009187655893474247,0.6338611000596487
41,0.009107721355283713,0.6429688214149324
42,0.009028508133985732,0.6519973295489181
43,0.00892632923994811,0.6609236587888662
44,0.008805835716696533,0.6697294945055627
45,0.008710193005583644,0.6784396875111464
46,0.008663260112788085,0.6871029476239344
47,0.008516483673110014,0.6956194312970444
48,0.008471705563511456,0.7040911368605558
49,0.008352001472919417,0.7124431383334752
50,0.008261790098977501,0.7207049284324527
51,0.008232687554167313,0.72893761598662
52,0.008136709493624224,0.7370743254802442
53,0.008074391050498054,0.7451487165307422
54,0.007961778523521491,0.7531104950542638
55,0.007923890239468876,0.7610343852937326
56,0.00782754805687972,0.7688619333506123
57,0.007777868996184466,0.7766398023467967
58,0.007711410214684434,0.7843512125614812
59,0.0076065947094382915,0.7919578072709195
60,0.007521048944577663,0.7994788562154971
61,0.0074904641425435365,0.8069693203580406
62,0.007399629188867438,0.814368949546908
63,0.007270261088166059,0.8216392106350741
64,0.0072087223338829455,0.828847932968957
65,0.0069859015921389924,0.835833834561096
66,0.0069422705327470986,0.842776105093843
67,0.006848143623432958,0.849624248717276
68,0.006802258895290624,0.8564265076125667
69,0.006686411839951644,0.8631129194525183
70,0.0065982692137766695,0.869711188666295
71,0.006504901033603476,0.8762160896998985
72,0.006397202749819715,0.8826132924497182
73,0.006272583623982148,0.8888858760737004
74,0.00620114378979884,0.8950870198634993
75,0.0061087359971151636,0.9011957558606144
76,0.006080989038093458,0.9072767448987079
77,0.006021680706141252,0.9132984256048492
78,0.005871697409158959,0.9191701230140081
79,0.005820166686474023,0.9249902897004821
80,0.005596758864792888,0.9305870485652751
81,0.005586018572822903,0.936173067138098
82,0.005445341801416885,0.9416184089395149
83,0.005345083741977671,0.9469634926814925
84,0.005051486603761477,0.9520149792852539
85,0.0047867736672183876,0.9568017529524723
86,0.004769717351025289,0.9615714703034975
87,0.004517453540491357,0.9660889238439889
88,0.004039631419760557,0.9701285552637495
89,0.0038506426736018185,0.9739791979373513
90,0.0036375331945357183,0.9776167311318871
91,0.003133145123606567,0.9807498762554936
92,0.0025223002726467813,0.9832721765281404
93,0.0024827703453077677,0.9857549468734481
94,0.0020359871998090135,0.9877909340732571
95,0.0019941516598848638,0.989785085733142
96,0.001627591175895669,0.9914126769090376
97,0.0014444907087179221,0.9928571676177554
98,0.0012047994222871509,0.9940619670400426
99,0.0010980152494967025,0.9951599822895393
100,0.0009999674351553896,0.9961599497246947
101,0.0008998831978389767,0.9970598329225336
102,0.0007514658636609998,0.9978112987861947
103,0.0006758779735014339,0.9984871767596961
104,0.0006110613430060139,0.9990982381027022
105,0.0003615722136719509,0.9994598103163741
106,0.00025399015556710726,0.9997138004719412
107,0.0001391386113323816,0.9998529390832737
108,9.466536453715804e-05,0.9999476044478108
109,5.2395552188792476e-05,0.9999999999999997
110,1.95313400279768e-17,0.9999999999999997
111,4.591721530395805e-18,0.9999999999999997
112,3.575598606219719e-18,0.9999999999999997
113,2.8640221272541806e-18,0.9999999999999997
114,8.7016816895612e-19,0.9999999999999997
115,0.0,0.9999999999999997
116,0.0,0.9999999999999997
117,0.0,0.9999999999999997
118,0.0,0.9999999999999997
119,0.0,0.9999999999999997
120,0.0,0.9999999999999997
121,0.0,0.9999999999999997
122,0.0,0.9999999999999997
123,0.0,0.9999999999999997
124,0.0,0.9999999999999997
125,0.0,0.9999999999999997
